compound_id,smiles,ic50_uM
CHEMBL1626905,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CCCC(N)=O)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,2.0
CHEMBL161759,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(CN3c4cccc5cccc(c45)N(C)S3(=O)=O)[C@H](C)[C@H]12,7.1
CHEMBL1626955,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](C)(CC5)CC6)cc3C4=O)C[C@H]12,0.18
CHEMBL1626950,CC[N+]12CC[N+](Cc3ccc4c(c3)C(=O)c3ccc(C5=C(C(=O)O)N6C(=O)[C@H]([C@@H](C)O)[C@H]6C5)cc3-4)(CC1)CC2,0.25
CHEMBL1626901,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7ccccn7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.31
CHEMBL322522,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(N)=O)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.8
CHEMBL1626913,COc1ccccc1NC(=O)C[N+]12CC[N+](Cc3ccc4c(c3)C(=O)c3ccc(C5=C(C(=O)O)N6C(=O)[C@H]([C@@H](C)O)[C@H]6[C@H]5C)cc3-4)(CC1)CC2,0.65
CHEMBL1626885,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7ccc(C(N)=O)cc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,1.5
CHEMBL1626933,CCC[N+]12CC[N+](Cc3ccc4c(c3)C(=O)c3ccc(C5=C(C(=O)O)N6C(=O)[C@H]([C@@H](C)O)[C@H]6C5)cc3-4)(CC1)CC2,0.28
CHEMBL1626953,COc1ccc(NC(=O)C[N+]23CC[N+](Cc4ccc5c(c4)C(=O)c4ccc(C6=C(C(=O)O)N7C(=O)[C@H]([C@@H](C)O)[C@H]7[C@H]6C)cc4-5)(CC2)CC3)cc1,0.89
CHEMBL1626941,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7ccc(C#N)cc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,1.05
CHEMBL1626919,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)NC7CCCC7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,1.0
CHEMBL1626918,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)NCc7ccccc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.97
CHEMBL1626940,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CCO)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.65
CHEMBL422426,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3ccc4c(c3)-c3ccc(C[n+]5ccn(C)c5)cc3C4=O)C[C@H]12,0.5
CHEMBL1626960,CCC[N+]12CC[N+](Cc3ccc4c(c3)C(=O)c3ccc(C5=C(C(=O)O)N6C(=O)[C@H]([C@@H](C)O)[C@H]6[C@H]5C)cc3-4)(CC1)CC2,0.57
CHEMBL1626883,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7nccs7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.62
CHEMBL1626911,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7ccc(CO)cc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,2.0
CHEMBL1626946,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)N(C)C)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.39
CHEMBL1626971,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7ccncc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.86
CHEMBL1626942,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7ccc(O)cc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.48
CHEMBL1626890,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](C)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.74
CHEMBL1626922,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7cccnc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.44
CHEMBL1626881,CC(C)NC(=O)C[N+]12CC[N+](Cc3ccc4c(c3)C(=O)c3ccc(C5=C(C(=O)O)N6C(=O)[C@H]([C@@H](C)O)[C@H]6[C@H]5C)cc3-4)(CC1)CC2,0.85
CHEMBL1626934,CC(=O)c1ccc(NC(=O)C[N+]23CC[N+](Cc4ccc5c(c4)C(=O)c4ccc(C6=C(C(=O)O)N7C(=O)[C@H]([C@@H](C)O)[C@H]7[C@H]6C)cc4-5)(CC2)CC3)cc1,2.4
CHEMBL287558,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4cc(Cl)ccc4s3)C[C@H]12,1.6
CHEMBL430547,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4ccc([N+](=O)[O-])cc4s3)[C@H](C)[C@H]12,0.6
CHEMBL410910,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4ccc(C#N)cc4s3)[C@H](C)[C@H]12,1.6
CHEMBL33583,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4ccccc4s3)C[C@H]12,3.1
CHEMBL34381,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4cc(C[n+]5ccn(C)c5)ccc4s3)C[C@H]12,0.4
CHEMBL282600,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4cc(Cl)ccc4s3)[C@H](C)[C@H]12,2.7
CHEMBL33235,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4c(C[n+]5ccn(C)c5)csc4s3)C[C@H]12,0.3
CHEMBL30322,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4cc(CO)ccc4s3)[C@H](C)[C@H]12,1.2
CHEMBL430721,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4c(CO)csc4s3)[C@H](C)[C@H]12,1.2
CHEMBL287296,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4cc(C(F)(F)F)ccc4s3)[C@H](C)[C@H]12,0.9
CHEMBL287661,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4ccccc4s3)[C@H](C)[C@H]12,2.0
CHEMBL33794,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4ccc(Cl)cc4s3)[C@H](C)[C@H]12,0.9
CHEMBL284058,CCOc1ccc2nc(SC3=C(C(=O)[O-])N4C(=O)[C@H]([C@@H](C)O)[C@H]4[C@H]3C)sc2c1,4.7
CHEMBL30991,COC(=O)c1cc2sc(SC3=C(C(=O)[O-])N4C(=O)[C@H]([C@@H](C)O)[C@H]4[C@H]3C)nc2o1,1.5
CHEMBL286644,COC(=O)c1csc2sc(SC3=C(C(=O)[O-])N4C(=O)[C@H]([C@@H](C)O)[C@H]4[C@H]3C)nc12,1.2
CHEMBL520642,Nc1nc(/C(=N/O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(/C=C4\CCN([C@@H]5CCNC5)C4=O)CS[C@H]23)ns1,0.9
CHEMBL501122,CCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(NP(=O)(O)O)n1,0.5
CHEMBL161,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,1.0
CHEMBL1730,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,1.0
CHEMBL29,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,2.0
CHEMBL389847,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@H]3C[C@@H](C(=O)N4CC[C@H](NC(=O)CNC(=N)N)C4)N(C)C3)[C@H](C)[C@H]12,5.3
CHEMBL1652606,Cc1oc(=O)oc1COC(=O)N1CC[C@@H](N2CC/C(=C\C3=C(C(=O)O)N4C(=O)[C@@H](NC(=O)/C(=N/O)c5nsc(N)n5)[C@H]4SC3)C2=O)C1,0.9
CHEMBL387640,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3cn4cnc(C(=O)c5ccc[n+](CC(N)=O)c5)c4s3)[C@H](C)[C@H]12,0.13
CHEMBL4594371,CCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(N)n1,0.16
CHEMBL5271107,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3ccc4c(c3)-c3ccc(C[n+]5ccn(C)c5)cc3C4=O)[C@H](C)[C@H]12,1.2
